"Stock Turn",6.26,4.9,6.03,5.86,7.01,6.34,6.42,6.18,5.78,6.65,6.91,6.29,6.62,6.43,6.96,6.44,6.67,6.71,6.69,7.05,7.21,6.58,6.49,6.62,6.86,7.87,7.89,6.85,6.67,6.93,6.92,7.82,7.72,7.21,7.3,7.19,6.95,7.26,7.57,7.06,6.57,6.49,6.45,7.51,7.65,7.27,6.74,6.82,7.14,8.61,8.44,6.91,6.9,6.81,7.36,7.17,6.92,6.61,7.43,7.66,
"Price : Earnings",-8.61,6.91,5.35,8.55,6.23,6.32,8.36,8.36,10.31,11.53,9.8,9.56,9.67,11.05,10.62,7.38,10.29,10.31,10.17,8.37,8.32,7.54,9.79,9.79,14.29,11.19,10.71,17.72,13.95,14.37,13.84,13.07,13.41,11.12,-39.56,-39.56,-83.97,-27.47,-27.21,4.29,117.22,28.74,19.18,31.23,31.23,21.5,-617.39,-376.16,-129.21,-21.46,-22.23,-13.19,48.58,48.97,32.07,47.88,47.6,38.65,-14.02,-14.02,
"Sales Per Share (Base Currency)",844.91,664.35,958.15,958.06,1060.15,1010.5,1107.79,1079.25,1050.56,1078.98,1072.56,1052.12,1110.82,992.91,991.95,942.41,984.99,984.85,984.95,971.1,1010.56,922.67,977.16,975.41,973.83,1066.11,1025.3,966.75,1018.07,1034.09,1050.14,1160,1150.39,1135.86,1204.21,1176.79,1149.32,1136.58,1173.54,1086.86,1142.75,1152.83,1132.66,1217.36,1218.7,1185.87,1236.03,1254.22,1218.06,1401.42,1373.56,1386.42,1423.02,1403.89,1442.09,1365.93,1271.92,1241.86,1222.89,1239.72,
"Price/Sales Per Share",0.19,0.24,0.12,0.33,0.23,0.39,0.41,0.43,0.54,0.58,0.62,0.61,0.58,0.73,0.69,0.71,0.69,0.69,0.67,0.53,0.51,0.5,0.46,0.46,0.43,0.29,0.3,0.37,0.4,0.39,0.35,0.34,0.34,0.32,0.29,0.3,0.27,0.22,0.21,0.23,0.27,0.27,0.32,0.24,0.24,0.28,0.3,0.29,0.24,0.21,0.22,0.37,0.37,0.37,0.36,0.38,0.41,0.31,0.36,0.36,
"Price/Net Asset Value",0.53,0.48,0.36,0.82,0.69,1.04,1.25,1.25,1.61,1.74,1.95,1.76,1.76,2.14,2.09,2.2,2.35,2.35,2.45,1.97,1.97,2.09,2.12,2.07,2.19,1.59,1.59,1.66,1.87,1.87,1.81,1.98,1.98,1.63,1.59,1.6,1.46,1.14,1.14,0.96,1.12,1.12,1.26,0.98,0.98,1.09,1.17,1.17,1,1.05,1.05,1.4,1.4,1.4,1.33,1.41,1.41,1.17,1.36,1.36,
"Price/Cash Flow",3.33,310.05,18.6,-1356.52,2.84,71.69,-187.92,101.72,120.55,8.25,97.66,75.45,1068.88,197.19,7.59,123.4,62.79,234.89,261.85,4.93,42.53,71.09,68.03,30.1,523.15,26.64,4.24,101.99,70.63,64.21,-142.07,4.74,28.83,216.05,39.51,31.8,-93.96,5.28,25.13,512.27,111.64,82.98,-155.2,23.84,3.64,49.69,35.5,51.81,-151.92,3.84,16.4,234.91,-287.67,80.46,-69.08,36.22,5.06,124.6,57.07,27.34,
"NAV%Price",192.99,207.31,276.2,121.76,144.9,96.16,79.61,79.57,62.4,50.32,51.32,56.74,56.62,46.73,48.17,45.62,42.74,42.72,41.24,49.28,50.18,49.02,49.65,49.67,44.91,63.17,65.92,60.16,53.19,53.15,55.42,51.57,50.24,61.41,62.6,62.71,69.13,86.83,87.51,104.06,89.02,89.08,79.72,102.9,102.84,88.97,85.1,85.1,98.93,96.44,96.32,70.17,70.17,70.07,75.52,71.4,71.4,84.9,79.64,74.91,
"Liquidity%",6.8,1.23,3.67,-0.51,12.87,13.18,-5.25,2.43,10.91,11.01,16.22,4.79,1.35,8.48,13.74,13.68,6.5,6.95,6,14.48,26.85,15.08,15.15,8.5,1.87,24.94,9.8,7.62,12.45,3.42,-5.29,9.88,25.97,3.23,16.59,5.16,-6.33,5.37,18.07,0.92,1.32,7.07,-4.26,21.62,8.85,12.3,4.79,13.14,-3.59,8.41,31.47,3.6,-0.74,10.64,-12.25,22.39,10,5.37,12.58,6.56,
"Cash Flow:Attributable Profit",-1.93,-0.6,5.31,-0.83,2.24,59,-2.94,0.64,5.04,1.27,11.53,1.12,0.51,5.02,1.42,8,1.3,2.82,2.4,1.72,9.11,17.38,5.56,1.78,0.91,11.71,2.29,73,8.57,1.65,-9,3.24,16.88,8.24,23.13,4.6,-15.56,-1.35,-5.56,-0.85,4.14,156,-16.33,9.38,4.42,-5.17,2.1,10.21,-3.56,-1.62,-11.97,-2.65,1.03,-7.35,-16.76,14.1,11.02,4.06,-20.77,-4.1,
"Cash/Equity (%)",17.1,10.67,14.67,13.04,20.17,11.12,36.24,36.24,18.28,18.64,17.21,23.32,23.32,,31.48,27.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EV/Ebitda (Pd)",56.76,,163.58,450.37,32.13,,,150.8,366.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PEG Ratio",0.76,,0.24,0.39,0.29,0.05,0.07,0.07,0.09,0.1,0.14,0.14,,0.16,0.15,0.08,0.11,0.11,0.1,0.08,0.09,-1.58,-2.05,-2.05,-3,-2.35,-2.35,1.01,0.8,0.82,0.79,0.77,0.77,-0.11,0.39,0.39,0.82,0.45,0.45,-0.35,-9.68,-2.37,-1.58,-2.58,-2.58,0.17,-4.8,-2.93,-1,-0.17,-0.14,-0.09,0.33,0.34,0.22,0.33,0.33,0.37,-0.14,-0.14,

